<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
14.05.2021;0:00:00;552.0000000;553.7000000;541.2000000;545.6500000;4089830
17.05.2021;0:00:00;545.8500000;546.1000000;535.9000000;545.5500000;3852360
18.05.2021;0:00:00;546.3500000;551.0000000;538.3500000;540.4500000;5971840
19.05.2021;0:00:00;539.6000000;539.6000000;526.3500000;529.5000000;4943050
20.05.2021;0:00:00;529.5500000;529.8500000;514.3000000;517.3500000;6585010
21.05.2021;0:00:00;516.8000000;528.5500000;515.3000000;525.5500000;5372140
24.05.2021;0:00:00;526.8500000;531.4000000;519.3000000;523.9500000;3162900
25.05.2021;0:00:00;525.1500000;530.4500000;523.2000000;524.3500000;3535020
26.05.2021;0:00:00;526.3000000;532.2000000;522.2000000;525.8500000;3743550
27.05.2021;0:00:00;523.0000000;525.2000000;519.8000000;525.2000000;4313580
28.05.2021;0:00:00;523.1500000;525.6000000;521.0000000;523.3500000;2860970
31.05.2021;0:00:00;525.9000000;531.6500000;524.0000000;531.4000000;2560760
01.06.2021;0:00:00;535.2500000;547.6500000;533.8500000;544.0000000;9934530
02.06.2021;0:00:00;545.0000000;552.4500000;541.6000000;552.0000000;8902240
03.06.2021;0:00:00;555.4500000;561.9000000;540.1000000;559.4500000;15161240
04.06.2021;0:00:00;560.4000000;563.2500000;554.0500000;556.4500000;8560250
07.06.2021;0:00:00;554.2000000;557.5000000;547.9000000;551.5500000;7101600
08.06.2021;0:00:00;550.9000000;552.2500000;544.6000000;550.2500000;8276560
09.06.2021;0:00:00;552.6500000;553.4000000;546.0000000;548.2500000;7296010
10.06.2021;0:00:00;548.2000000;551.7000000;535.6500000;539.6000000;13978250
11.06.2021;0:00:00;539.9000000;542.1000000;530.2000000;535.4500000;8147670
14.06.2021;0:00:00;531.5500000;541.8500000;530.7000000;537.6000000;4248740
15.06.2021;0:00:00;538.5500000;542.0000000;532.3500000;536.0500000;5533100
16.06.2021;0:00:00;537.6500000;545.7500000;536.4500000;541.2500000;6749360
17.06.2021;0:00:00;539.9000000;543.8500000;534.0000000;537.0000000;15039020
18.06.2021;0:00:00;537.0000000;543.4000000;526.7500000;541.0000000;11471730
21.06.2021;0:00:00;541.3500000;542.8000000;534.2500000;541.2000000;5184600
22.06.2021;0:00:00;543.0500000;553.2000000;542.0500000;551.8500000;7529540
23.06.2021;0:00:00;553.3500000;571.4000000;553.3500000;570.4500000;19196290
24.06.2021;0:00:00;570.4500000;572.9000000;565.0500000;565.9500000;15281830
25.06.2021;0:00:00;566.0000000;566.4000000;560.6500000;564.7000000;3781620
28.06.2021;0:00:00;564.6500000;564.9500000;553.0500000;555.0000000;7221370
29.06.2021;0:00:00;554.5000000;558.7500000;548.0000000;553.0500000;5988960
30.06.2021;0:00:00;554.9000000;571.8000000;551.7000000;571.2000000;14688620
01.07.2021;0:00:00;570.0000000;586.9500000;569.6500000;581.4500000;34217710
02.07.2021;0:00:00;580.2000000;585.9000000;562.8500000;567.0000000;13336120
05.07.2021;0:00:00;567.9000000;569.9000000;561.0000000;567.5000000;3911250
06.07.2021;0:00:00;570.0500000;580.5500000;565.3500000;571.0000000;20636520
07.07.2021;0:00:00;571.7500000;583.0000000;570.0000000;580.2500000;14458720
08.07.2021;0:00:00;578.9500000;582.0000000;572.6500000;581.1000000;13944140
09.07.2021;0:00:00;581.2500000;586.7500000;574.1000000;577.8500000;16852780
12.07.2021;0:00:00;577.4000000;579.4000000;570.5000000;579.0000000;4516390
13.07.2021;0:00:00;578.6000000;584.1000000;573.0000000;576.0000000;7697530
14.07.2021;0:00:00;575.6000000;582.9500000;568.8000000;569.0000000;15586430
15.07.2021;0:00:00;567.0000000;568.0000000;556.3000000;562.5000000;6006040
16.07.2021;0:00:00;560.6000000;570.4000000;556.8500000;563.4500000;4373550
19.07.2021;0:00:00;558.0000000;559.4000000;543.2500000;543.9000000;8424760
20.07.2021;0:00:00;547.5500000;550.6000000;536.7000000;547.5000000;5138390
21.07.2021;0:00:00;547.0000000;553.1000000;543.2000000;551.9000000;3752310
22.07.2021;0:00:00;552.8000000;556.2500000;549.3500000;553.6500000;3432430
23.07.2021;0:00:00;554.8000000;556.0000000;545.2000000;548.8500000;2498220
26.07.2021;0:00:00;545.8500000;552.9000000;540.2000000;552.7000000;3110830
27.07.2021;0:00:00;551.5000000;553.9000000;547.1500000;551.2000000;1967990
28.07.2021;0:00:00;551.0000000;555.7000000;550.5000000;554.2500000;2444670
29.07.2021;0:00:00;555.7000000;558.1000000;550.7500000;554.0000000;3634170
30.07.2021;0:00:00;552.4000000;554.8000000;539.5500000;544.5000000;5236850
02.08.2021;0:00:00;545.0500000;550.8000000;541.2500000;548.8500000;5232950
03.08.2021;0:00:00;547.7000000;551.0000000;542.2000000;551.0000000;3432600
04.08.2021;0:00:00;551.6500000;553.2000000;542.8000000;543.5000000;4380870
05.08.2021;0:00:00;542.8500000;548.7000000;538.1500000;548.0000000;5503520
06.08.2021;0:00:00;548.9500000;552.4000000;544.0500000;544.9000000;4442130
09.08.2021;0:00:00;539.6000000;548.0000000;535.2500000;545.0000000;7267800
10.08.2021;0:00:00;547.6000000;564.1000000;547.0000000;562.5500000;7887670
11.08.2021;0:00:00;564.0500000;568.4000000;558.8500000;561.8000000;4532310
12.08.2021;0:00:00;561.4500000;567.8500000;557.2000000;565.9000000;5487290
13.08.2021;0:00:00;565.4000000;568.7000000;555.0000000;558.5500000;4781590
16.08.2021;0:00:00;556.6000000;567.6500000;551.5000000;564.4000000;15423440
17.08.2021;0:00:00;562.8500000;563.0000000;552.9000000;555.0000000;9540250
18.08.2021;0:00:00;557.8000000;559.9000000;542.2500000;546.9500000;8538510
19.08.2021;0:00:00;543.8500000;547.7500000;531.4500000;537.8000000;11527470
20.08.2021;0:00:00;538.0000000;538.3500000;530.1000000;534.0000000;3352790
23.08.2021;0:00:00;538.1500000;545.4500000;536.1000000;544.8500000;3373360
24.08.2021;0:00:00;545.9000000;549.5500000;539.2500000;545.0000000;5419300
25.08.2021;0:00:00;544.5000000;545.7500000;536.5500000;538.5000000;4318270
26.08.2021;0:00:00;538.4500000;538.8500000;531.5000000;531.7000000;3971600
27.08.2021;0:00:00;533.7500000;538.2000000;533.1000000;537.8000000;3075140
30.08.2021;0:00:00;539.5500000;540.9500000;536.3500000;539.3000000;2549170
31.08.2021;0:00:00;540.0000000;540.4000000;531.5500000;533.6000000;5183626
01.09.2021;0:00:00;536.3500000;541.7500000;534.8000000;541.5500000;4941116
