<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
160721;00:00:00;433.9500000;433.9500000;428.3500000;428.4000000;535660
190721;00:00:00;428.4000000;428.6000000;414.1000000;414.7500000;1416220
200721;00:00:00;419.3000000;424.1000000;418.1000000;421.4500000;1186400
210721;00:00:00;423.4500000;429.7500000;419.0500000;420.2500000;964140
220721;00:00:00;424.3500000;426.7500000;420.3500000;423.0000000;439340
230721;00:00:00;423.0000000;425.9000000;421.3000000;421.8000000;438250
260721;00:00:00;421.0000000;422.7500000;414.3500000;421.0000000;422850
270721;00:00:00;420.0500000;424.9000000;417.9500000;422.7000000;547360
280721;00:00:00;426.0000000;427.5000000;423.0000000;426.2000000;374100
290721;00:00:00;427.0000000;429.9500000;426.2000000;428.4500000;548950
300721;00:00:00;426.9000000;426.9500000;423.2000000;425.3500000;607810
020821;00:00:00;427.4000000;427.6500000;420.7500000;422.3500000;658530
030821;00:00:00;422.4500000;426.0000000;417.9500000;426.0000000;791360
040821;00:00:00;426.0000000;428.6500000;421.7000000;424.4500000;542090
050821;00:00:00;422.4000000;424.3000000;420.1000000;421.6500000;842640
060821;00:00:00;422.1500000;427.9000000;420.0000000;427.4000000;917990
090821;00:00:00;423.2500000;426.5000000;421.0000000;421.1500000;678560
100821;00:00:00;431.5000000;431.5000000;422.8000000;425.7000000;1394230
110821;00:00:00;427.8000000;430.0000000;425.2000000;429.8000000;631410
120821;00:00:00;432.0000000;433.0000000;427.6500000;429.5500000;407880
130821;00:00:00;431.1000000;431.1500000;423.3000000;426.6500000;424000
160821;00:00:00;422.0500000;428.9000000;421.1500000;428.8000000;501290
170821;00:00:00;425.1500000;429.7000000;424.8000000;426.5000000;672160
180821;00:00:00;429.5500000;429.7000000;425.9500000;427.2000000;258470
190821;00:00:00;424.5500000;425.3000000;415.8000000;415.8000000;1248850
200821;00:00:00;419.6500000;419.6500000;416.0000000;417.8000000;442290
230821;00:00:00;420.0000000;427.2000000;419.5000000;425.5000000;616000
240821;00:00:00;427.0500000;427.7500000;423.6000000;423.9000000;737460
250821;00:00:00;426.7500000;429.6500000;424.1000000;428.0500000;599550
260821;00:00:00;427.6500000;432.3000000;420.4000000;420.7000000;957760
270821;00:00:00;423.3000000;426.0000000;421.8000000;425.4500000;310260
300821;00:00:00;425.9500000;431.0000000;425.9500000;429.4500000;668510
310821;00:00:00;430.1500000;431.7000000;425.1000000;426.1000000;674030
010921;00:00:00;428.9500000;430.8000000;426.2500000;430.0000000;381250
