<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
250221;00:00:00;223.4700000;225.5000000;221.2200000;221.7000000;42722110
260221;00:00:00;220.5600000;221.6800000;217.2000000;217.5600000;63735100
010321;00:00:00;219.3400000;222.0100000;218.2500000;221.4700000;28373590
020321;00:00:00;220.0000000;224.1100000;219.7600000;222.7400000;34140160
030321;00:00:00;224.2000000;226.7900000;221.7000000;222.1500000;33225100
040321;00:00:00;221.8800000;226.6900000;219.5000000;221.1400000;46417010
050321;00:00:00;222.0500000;228.4200000;220.0200000;227.0000000;55786000
090321;00:00:00;227.5100000;233.0700000;226.0500000;232.1000000;73759850
100321;00:00:00;231.8300000;235.5000000;230.6600000;231.6900000;55372950
110321;00:00:00;232.8300000;233.5300000;230.0700000;232.4700000;32131810
120321;00:00:00;232.0100000;234.3900000;230.6000000;233.8000000;28819550
150321;00:00:00;234.9800000;238.0900000;234.4600000;237.7900000;46121290
160321;00:00:00;237.3000000;238.2300000;233.8000000;234.0200000;38029020
170321;00:00:00;234.0000000;234.5600000;227.2100000;229.9000000;62072590
180321;00:00:00;230.0500000;231.7900000;223.7000000;224.3500000;67581990
190321;00:00:00;223.0500000;226.6400000;222.3700000;225.4000000;58484100
220321;00:00:00;225.1400000;225.3400000;220.7900000;221.8800000;58491290
230321;00:00:00;221.3500000;224.4400000;219.8100000;221.6200000;43094210
240321;00:00:00;222.3900000;225.4500000;220.5300000;223.6500000;36700010
250321;00:00:00;224.2000000;225.3800000;222.7000000;224.8400000;29735720
260321;00:00:00;225.7400000;227.6000000;225.1300000;227.3000000;26672930
290321;00:00:00;226.7900000;229.1500000;226.3100000;228.7400000;23752090
300321;00:00:00;228.9500000;230.1000000;225.0400000;225.9300000;26818410
310321;00:00:00;226.4000000;228.4000000;223.3200000;227.2400000;38847380
010421;00:00:00;228.4300000;231.6700000;225.7500000;226.9400000;43823600
020421;00:00:00;227.0000000;229.2000000;226.5400000;228.4000000;12621010
050421;00:00:00;227.9000000;227.9200000;224.1300000;225.0600000;23919530
060421;00:00:00;226.0100000;226.5500000;221.9100000;222.9500000;36223380
070421;00:00:00;222.3100000;226.0100000;220.6800000;224.5100000;29483660
080421;00:00:00;224.8400000;226.3000000;222.8800000;224.3000000;19420190
090421;00:00:00;224.1700000;224.3000000;221.4800000;222.1500000;20902100
120421;00:00:00;220.9500000;224.2500000;219.6000000;222.8700000;29206290
130421;00:00:00;223.0200000;228.3300000;221.1000000;227.9900000;39063400
140421;00:00:00;230.5800000;236.5800000;229.3100000;235.3200000;91895500
150421;00:00:00;230.1000000;236.3900000;228.2300000;234.6300000;62531120
160421;00:00:00;235.4900000;237.4500000;232.7000000;235.1000000;46181390
190421;00:00:00;234.7400000;234.9000000;230.2800000;231.1700000;39712830
200421;00:00:00;231.5800000;233.1700000;229.0000000;230.0000000;43916060
210421;00:00:00;229.9300000;231.8000000;228.3700000;230.8400000;35493950
220421;00:00:00;230.6800000;232.1500000;227.1400000;230.9300000;60338620
230421;00:00:00;231.3000000;233.3000000;230.0000000;232.6200000;35447230
260421;00:00:00;233.0200000;234.9100000;232.1600000;233.2300000;28695180
270421;00:00:00;233.5000000;235.1400000;231.2100000;232.0000000;29275690
280421;00:00:00;232.5500000;233.2400000;230.2000000;232.9600000;37443310
290421;00:00:00;234.0800000;236.1800000;229.0000000;230.5100000;55599370
300421;00:00:00;230.1100000;231.6000000;228.8600000;231.3800000;32069550
040521;00:00:00;232.2000000;234.3000000;230.9600000;233.8000000;37916850
050521;00:00:00;234.2100000;237.7700000;233.6900000;237.5000000;38141220
060521;00:00:00;237.9000000;243.3200000;237.7500000;243.0000000;50375470
070521;00:00:00;243.4900000;243.9900000;240.7800000;241.7000000;37128000
100521;00:00:00;242.3500000;244.3000000;240.5200000;241.4100000;32389560
110521;00:00:00;240.2000000;243.1700000;239.0500000;242.5000000;35809800
